GameID,Date,Opponent,Location,Points,FG%,Turnovers,Steals,PersonalFouls,Assists
002,2024-11-07,Indiana,Away,72,40.9,18,14,32,11
003,2024-11-10,Quinnipiac,Away,53,30.5,17,12,25,10
005,2024-11-17,Maine,Away,83,52.7,7,17,20,16
007,2024-11-23,Northwestern,Away,75,38.1,13,7,17,17
008,2024-11-24,Illinois St.,Away,72,44.9,9,20,13
009,2024-11-27,Stony Brook,Away,60,40.4,8,13,14,16
010,2024-11-28,St.John's(NY),Away,54,36.8,18,7,15,6
013,2025-01-04,Yale,Away,61,32.4,7,12,18,11
014,2025-01-11,Princeton,Away,50,37.3,13,11,16,8
016,2025-01-20,Penn,Away,73,42.2,8,6,14,14
021,2025-02-14,Cornell,Away,66,41.4,9,12,16,15
022,2025-02-16,Columbia,Away,60,45.7,22,13,19,18
023,2025-02-22,Brown,Away,60,38.3,11,6,17,13
026,2025-03-08,Darthmouth,Away,74,47.7,5,10,16,14
027,2025-03-14,Princeton,Away,70,39.7,13,6,17,10
028,2025-03-15,Columbia,Away,74,49.2,8,7,12,18
029,2025-03-22,MichiganSt.,Away,50,27.7,20,10,25,9
